asset,spec,model,term,coef,se,pval,nobs,r2,meetings_used
ES,noFE,per_emotion_60s,Intercept,0.02090652162360157,0.06538641983346954,0.7491669680456353,1764,0.42697742646896264,16
ES,noFE,per_emotion_60s,emo_happy,0.6243901991920249,0.46913648678495173,0.18321037909539584,1764,0.42697742646896264,16
ES,noFE,per_emotion_60s,emo_surprise,-0.02367072808536667,0.11610334424818727,0.8384501131684825,1764,0.42697742646896264,16
ES,noFE,per_emotion_60s,emo_anxious,-0.03154205396133382,0.06455313053812511,0.6251096175802588,1764,0.42697742646896264,16
ES,noFE,per_emotion_60s,pre_px_60,-0.37570215584888333,0.023937991165714382,1.641406103153426e-55,1764,0.42697742646896264,16
ES,FE,per_emotion_60s,Intercept,-0.019454523512892508,0.010467413336558623,0.06308671538192098,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2021-11-03],0.02223130241692619,0.010489808872023837,0.034063105050145724,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2022-07-27],0.013983210189182239,0.00045020742287863954,8.495538041250766e-212,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2022-11-02],-0.014629950327405147,0.004108047798245277,0.0003690369372274082,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2023-03-22],0.0011239720678909706,0.0032477898027034047,0.7292879217074519,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2023-06-14],1.0199931399414002,0.01623655975477332,0.0,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2023-11-01],0.11110456022236481,0.007285089712443467,1.6224784540791471e-52,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2023-12-13],0.14737496571126757,0.025489923000316942,7.3951601797053685e-09,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2024-03-20],0.0003312596546731243,0.0060296818438622226,0.9561877266838307,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2024-06-12],0.47152224936585374,0.01806517360459436,3.5355666274812724e-150,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2024-09-18],-0.4148246146585552,0.0422479509050884,9.343975786799723e-23,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2024-11-07],-0.1904423664445335,0.012768521059349938,2.633159383806745e-50,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2024-12-18],-0.031833399774406135,0.05304719108965651,0.5484423513045857,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2025-01-29],0.013932862962062934,0.002255942326922594,6.571589393995206e-10,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2025-03-19],-0.10931844650977995,0.030834054185212945,0.0003920470900519472,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,C(meeting_id)[T.2025-05-07],0.23889107518524602,0.016017911258914306,2.672644416612556e-50,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,emo_happy,0.7142187276079687,0.4704877298665999,0.12900456480019176,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,emo_surprise,0.18331147377653784,0.19266248609622652,0.34136874252640304,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,emo_anxious,0.09291507306406355,0.07087311919898748,0.18985579107098627,1764,0.4299669345259073,16
ES,FE,per_emotion_60s,pre_px_60,-0.3763321641749411,0.024266359242132274,3.044163299719791e-54,1764,0.4299669345259073,16
ZT,noFE,per_emotion_60s,Intercept,-0.09867131334328841,0.09710932951030524,0.3095890081316076,1764,0.33978743340894546,16
ZT,noFE,per_emotion_60s,emo_happy,0.10229780267235855,0.09691673182963918,0.29118636993495495,1764,0.33978743340894546,16
ZT,noFE,per_emotion_60s,emo_surprise,0.09906193834328947,0.09716466030289814,0.30795311653048474,1764,0.33978743340894546,16
ZT,noFE,per_emotion_60s,emo_anxious,0.09723131639303076,0.09722993779164005,0.3173036462147423,1764,0.33978743340894546,16
ZT,noFE,per_emotion_60s,pre_px_60,-0.21715980481632474,0.039706051704107286,4.521056472486697e-08,1764,0.33978743340894546,16
ZT,FE,per_emotion_60s,Intercept,-1.2184410032305015,0.06318576284735497,7.394011161839279e-83,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,C(meeting_id)[T.2021-11-03],1.2193611697234967,0.0630718464992148,2.8404353954260006e-83,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,C(meeting_id)[T.2022-07-27],1.219214276843651,0.06279570304060433,5.700163199702105e-84,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,C(meeting_id)[T.2022-11-02],1.2111015440117092,0.06266433481772692,3.1959111617097447e-83,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,C(meeting_id)[T.2023-03-22],1.220862863015936,0.06303164539668332,1.408419726567679e-83,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,C(meeting_id)[T.2023-06-14],1.2210045841932118,0.06327058703613615,5.567859069639469e-83,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,C(meeting_id)[T.2023-11-01],1.0080148199258354,0.04659986048836938,9.120882527793051e-104,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,C(meeting_id)[T.2023-12-13],1.2219388046743491,0.0630629106979244,1.2184640243205783e-83,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,C(meeting_id)[T.2024-03-20],1.2141608302111808,0.06254247445913014,5.948232588121263e-84,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,C(meeting_id)[T.2024-06-12],1.2152380907510347,0.06311048158384149,1.2639253876122585e-82,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,C(meeting_id)[T.2024-09-18],1.2112905806521979,0.06257194742586526,1.732998567108742e-83,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,C(meeting_id)[T.2024-11-07],1.4220947037410412,0.09940880179858867,2.0211838544027218e-46,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,C(meeting_id)[T.2024-12-18],1.213306752573435,0.062713319874974,2.16582799578257e-83,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,C(meeting_id)[T.2025-01-29],1.2165959482658482,0.0628226383077071,1.5068971779195863e-83,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,C(meeting_id)[T.2025-03-19],1.2205321148534896,0.06323577961810574,5.23850901329189e-83,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,C(meeting_id)[T.2025-05-07],1.2155010969958826,0.06289844684078036,3.321470142668555e-83,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,emo_happy,0.13704783477991578,0.13253806582486577,0.3011239072345856,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,emo_surprise,0.004352268195368663,0.004182920225752014,0.2981143580472635,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,emo_anxious,-0.1037775775638205,0.07050452223359692,0.1410403323944399,1764,0.3540536494619586,16
ZT,FE,per_emotion_60s,pre_px_60,-0.22040121997041126,0.0395746330934088,2.5583096262087038e-08,1764,0.3540536494619586,16
